SITE,Date,Season,Treatment,mean_light,SE_light,GPP_mg_C_m2_day,NCP_mg_C_m2_day,RSP_mg_C_m2_day,NPP_c_mg_day,total_dry_algae
MOHK,5/30/07,spring,MC,4.68,2.38,192.85,-1422.61,-1615.47,179.72,2.74
MOHK,5/30/07,spring,MC,4.68,2.38,873.28,-550.42,-1423.7,547.83,7.45
MOHK,5/30/07,spring,MR,314.32,46.69,3079.41,746.37,-2333.04,2579.11,59.1812
MOHK,5/30/07,spring,MR,314.32,46.69,4936.52,1388.53,-3547.99,4730.22,27
MOHK,6/19/07,spring,MC,2.86,1.59,777.18,-362.27,-1139.45,773.37,0.234
MOHK,6/19/07,spring,MC,2.86,1.59,338.41,-413.4,-680.87,338.41,
MOHK,6/19/07,spring,MR,124.92,26.47,818.89,-1760.08,-2484.57,818.89,4.2795
MOHK,6/19/07,spring,MR,124.92,26.47,4220.66,2026.9,-2193.76,3916.79,53.22
MOHK,7/20/07,summer,MC,24.57,5.52,516.5,-1361.1,-1061.5,516.5,
MOHK,7/20/07,summer,MC,24.57,5.52,0,-2426.07,-1918.97,0,
MOHK,7/20/07,summer,MR,258.11,45.93,2526.17,1156.45,-1369.72,2206.15,8.57
MOHK,7/20/07,summer,MR,258.11,45.93,1319.4,-672.44,-1801.88,396.64,20.84
MOHK,8/21/07,summer,MC,69.02,12.93,700.15,-190.62,-684.52,700.15,0
MOHK,8/21/07,summer,MC,69.02,12.93,268.85,-904.55,-811.55,268.85,0
MOHK,8/21/07,summer,MR,77.27,12.77,895.63,-795.48,-1621.34,651.5,33.61
MOHK,8/21/07,summer,MR,77.27,12.77,2259.34,654.61,-1604.72,1980.95,66.67
MOHK,9/11/07,summer,MC,74.58,14.71,803.13,168.71,-634.42,803.13,0
MOHK,9/11/07,summer,MC,74.58,14.71,7.32,-1233.13,-871.57,7.32,0
MOHK,9/11/07,summer,MR,231.11,36.81,2788.61,1202.75,-1585.86,2690.9,13.87
MOHK,9/11/07,summer,MR,231.11,36.81,744.98,192.53,-552.46,722.53,3.28
MOHK,11/2/07,fall,MC,0.93,0.36,231.79,-224.07,-407.63,227.9,0.16
MOHK,11/2/07,fall,MC,0.93,0.36,262.7,-816,-735.71,247.94,1.475
MOHK,11/2/07,fall,MR,16.87,5.14,810.14,-626.34,-984.85,538.76,78.2168
MOHK,11/2/07,fall,MR,16.87,5.14,1872.51,526.18,-1346.32,1665.64,5.3589
MOHK,11/8/07,fall,MC,3.7,1.32,461.81,-1375.48,-1585.28,443.68,1.56
MOHK,11/8/07,fall,MC,3.7,1.32,20.73,-520.08,37.89,20.73,0
MOHK,11/8/07,fall,MR,86.93,31.81,824.06,-48.01,-171.3,544.48,85.1184
MOHK,11/8/07,fall,MR,86.93,31.81,1767.8,511.51,-1256.29,1554.24,77.4721
MOHK,12/17/07,fall,MC,59.81,12.25,257.52,84.15,-153.62,243.97,2.7996
MOHK,12/17/07,fall,MC,59.81,12.25,159.71,37.33,-66.01,159.71,0
MOHK,12/17/07,fall,MR,144.99,28.74,1137.68,10.81,-1126.87,1028.43,38.0605
MOHK,12/17/07,fall,MR,144.99,28.74,1632.5,516.34,-1116.16,1447.15,55.8965
MOHK,2/8/08,winter,MC,70.61,13.46,380.13,-10.34,-390.47,379.47,0.15
MOHK,2/8/08,winter,MC,70.61,13.46,23.44,-139.86,-135.49,20.5,0.77
MOHK,2/8/08,winter,MR,94.79,13.87,802.16,435.44,-366.72,760.07,11.99
MOHK,2/8/08,winter,MR,94.79,13.87,1546.98,636.07,-910.91,1348.47,35.1161
MOHK,2/27/08,winter,MC,20.76,6.17,399.8,117.11,-282.69,398.91,0.07
MOHK,2/27/08,winter,MC,20.76,6.17,101.94,-266.16,-136.3,27.4,5.83
MOHK,2/27/08,winter,MR,18.5,5.01,586.67,246.31,-340.36,586.67,0
MOHK,2/27/08,winter,MR,18.5,5.01,387.41,50.34,-337.07,27.34,58.85
MOHK,3/21/08,winter,MC,101.06,15.16,729.86,141.22,-551.72,728.04,0.087
MOHK,3/21/08,winter,MC,101.06,15.16,860.65,-199.97,-1060.62,859.51,0.021
MOHK,3/21/08,winter,MR,91.67,11.98,1665.14,256.78,-1408.36,1526.85,29.69
MOHK,3/21/08,winter,MR,91.67,11.98,3143.48,1700.72,-1442.77,3050.49,28.03
MOHK,4/17/08,spring,MC,13.65,3.32,577.38,-812.03,-334.79,557.31,1.81
MOHK,4/17/08,spring,MC,13.65,3.32,705.15,6.34,-569.33,698.27,1.28
MOHK,4/17/08,spring,MR,8.45,1.45,1120.42,-689.68,-1746.77,1090.24,2.32
MOHK,4/17/08,spring,MR,8.45,1.45,1800.94,-130.83,-1339.59,1728.69,16.93
MOHK,6/13/08,spring,MC,25.99,5.38,648.02,-1111.04,-1759.06,488.27,3.33
MOHK,6/13/08,spring,MC,25.99,5.38,193.97,-1023.05,-1150.64,78.97,4.75
MOHK,6/13/08,spring,MR,21.01,3.58,162.73,-1054.77,-938.21,-282.42,20.82
MOHK,6/13/08,spring,MR,21.01,3.58,780.44,16.14,-687.28,524.02,11.78
MOHK,7/17/08,summer,MC,246.63,89.47,3344.18,1435.58,-1908.59,3107.75,18.53
MOHK,7/17/08,summer,MC,246.63,89.47,5235.78,2477.22,-2758.56,4979.22,39.45
MOHK,7/17/08,summer,MR,269.94,95.46,3262.12,1663.22,-1598.89,1737.55,50.81
MOHK,7/17/08,summer,MR,269.94,95.46,1837.63,596.4,-1241.23,1587.25,36.2
MOHK,8/22/08,summer,MC,176.61,41.1,3445.68,1416.36,-2029.32,3017.1,76.52
MOHK,8/22/08,summer,MC,176.61,41.1,2482.57,458.62,-2023.95,2040.5,81.1
MOHK,8/22/08,summer,MR,289.34,64.15,3280.42,1665.91,-1614.52,3053.05,40.27
MOHK,8/22/08,summer,MR,289.34,64.15,1972.04,730.82,-1241.23,1585.01,50.9
MOHK,9/15/08,summer,MC,99.79,14.57,2768.09,884.51,-1883.57,2695.32,16.288902
MOHK,9/15/08,summer,MC,99.79,14.57,1746.18,104.77,-1641.42,1500.6,54.24
MOHK,9/15/08,summer,MR,269.4,38.82,1574.78,-589.16,-2163.94,1447.8,21.19
MOHK,9/15/08,summer,MR,269.4,38.82,1802.77,-791.6,-2583.38,1470.85,84.15