treatment,date,_Ndaily,C_umolm2,Chla_ugm2,Phaeo_ugm2,production_umol_m2_daily
MC,5/1/07,3,121959.24,11074.11,3274.34,1381.71
MR,5/1/07,3,143026.63,13671.84,2975.32,43876.92
MC,5/15/07,3,271808.03,49952.97,10295.67,5976.44
MR,5/15/07,3,305052.66,63771.01,6914.55,76410.65
MC,5/22/07,5,397314.78,58274.72,24225.75,672.51
MR,5/22/07,5,359020.55,64864.11,12065.68,195897.35
MC,7/23/07,5,155377.13,7405.12,2728.39,9344.8
MR,7/23/07,4,164045.39,8710.59,2090.09,24392.15
MC,8/16/07,5,134307.03,6585.26,3196.43,26353.06
MR,8/16/07,5,126091.87,6342.02,2797.71,26202.72
MC,9/13/07,5,124281.28,7475.52,4714.39,7051.21
MR,9/13/07,4,112049.43,11165.14,5048.94,17609.55
MC,10/22/07,5,255202.07,24710.66,7439.36,24978.56
MR,10/22/07,5,197061.72,33120.77,6752.79,62559.37
MC,11/14/07,5,345676.36,32888.29,6530.02,7059.24
MR,11/14/07,5,282039.06,31903.7,6305.85,43329.54
MC,12/11/07,5,92285.77,6655.34,2786.73,8737.18
MR,12/11/07,5,96383.44,7004.58,2845.59,9657
MC,1/29/08,3,225463.64,5548.1,4569.59,904.36
MR,1/29/08,5,128846.55,6254.51,3204.19,3074.56
MC,2/20/08,5,117168.8,7450.38,2534.3,-266.96
MR,2/20/08,5,99799.37,8830.13,2452.9,21.32
MC,3/18/08,3,88492.75,14477.96,3209.29,16198.04
MR,3/18/08,5,93353.43,16147.12,3500.58,30730.63
MC,4/14/08,3,447162.79,85441.19,15529.98,80177.5
MR,4/14/08,4,327198.33,87592.72,11641.17,148236.24
MC,5/15/08,5,139710.15,10106.34,3788.29,13250.97
MR,5/15/08,5,147828.24,12058.81,3724.62,17855.19
MC,6/17/08,5,167750.09,1746.18,702.38,26318.63
MR,6/17/08,5,176113.27,8335.38,2394.45,34197.71
MC,7/10/08,5,318434.85,32450.69,9840.4,42607.14
MR,7/10/08,5,345082.98,36074.56,10345.17,49419.55
MC,8/19/08,5,218872.89,14993.03,3731.43,-1751.5
MR,8/19/08,5,127388.73,6467.49,1986.09,18672.75
MC,9/11/08,5,121374.45,8818.23,2493.52,5517.69
MR,9/11/08,5,107649.52,11162.87,1862.5,17044.86